Year,MONTH,RESERVER_WATER,RESIDENT_UNITS
2017,Jul,11167,9129
2017,Aug,12479,9129
2017,Sep,12784,12080
2017,Oct,13605,
2017,Nov,13425,15096
2017,Dec,11234,13713
2018,Jan,13563,12161
2018,Feb,12491,
2018,Mar,13185,13000
2018,Apr,11992,12478
2018,May,13116,9640
2018,Jun,12933,12659
2018,Jul,13470,12910
2018,Aug,14744,10581
2018,Sep,15073,15811
2018,Oct,16125,13075
2018,Nov,17684,16530
2018,Dec,14306,11396
2019,Jan,14772,16337
2019,Feb,15681,16337
2019,Mar,15288,13572
2019,Apr,14147,14394
2019,May,14710,12375
2019,Jun,14601,12158
2019,Jul,14897,16785
2019,Aug,14345,12121
2019,Sep,14792,15846
2019,Oct,15486,16760
