Var1,Var2,Var3,Var4,Var5,Target
8.07,1.97,2.09,1.68,17.65,39.984
3.39,6.93,0.56,11.75,22.78,10.878
26.2,0.46,0.14,0.46,30.17,358.2670592
0.7,3.57,1.73,1.5,32.77,13.69999981
1.01,1.66,2.42,0.73,32.13,11.30000019
2.3,0.47,3.32,0.33,29.78,47.09999847
18.85,1.21,0.94,3.05,30.53,229.6437766
4.83,2.52,0.87,1.68,31.87,15.8
16.52,1.51,0.78,2.66,30.44,172.4645063
0.61,0.28,3.37,0.12,30.71,9.800000191
26.89,0.34,0.11,1.13,36.47,305.2746815
3.71,6.24,0.93,10.69,23.16,8.100000381
5.48,2.45,2.5,1.7,5.58,7.5
22.13,1.14,0.59,1.34,29.35,290.766
0.32,0.35,3.58,0.14,31.02,6.699999809
2.74,1.13,3.01,0.96,31.82,14.26236045
4.42,6.36,0.5,8.92,23.81,4.116
23.08,0.76,0.48,0.59,30.5,268.8077311
4.99,2.6,2.52,1.4,8.37,4.606
3.63,1.96,0.93,1.56,40.24,38.29999924
3.39,6.96,0.55,11.7,22.76,9.016
4.41,6.27,0.56,8.1,24.29,6
3.64,2.51,0.89,1.75,39.68,18.10000038
2.33,1.3,3.64,0.65,32.17,27.28321881
3.83,0.21,3.9,0.19,32.89,79.15233906
5.06,2.5,2.37,1.48,4.73,5.586
4.02,6.09,0.68,8.44,24.03,5.699999809
25.62,0.44,0.13,0.42,30.71,275.1321503
4.67,3.35,2.58,2.4,9.52,1.5
4.4,3.06,2.24,1.63,35.42,10.80000019
3.43,6.93,0.84,11.49,23.11,3.038
3.34,6.92,0.69,11.38,22.93,5.978
3.95,0.43,3.92,0.25,32.95,65.49928511
4.85,0.24,3.71,0.18,34.2,95.73816156
28.48,0.22,0.11,0.86,37.54,311.996008
4.03,2.6,1.74,1.38,33.07,26.42036945
3.71,2.68,0.63,2.11,30.11,17.33306836
3.86,0.24,3.81,0.19,30.39,70.15909091
4.18,2.87,2.09,1.6,40.38,9.199999809
4.81,2.58,0.77,1.29,11.78,13.622
4.99,2.65,1.95,1.58,6.52,6.099999905
6.75,1.99,2.61,1.38,11.22,27.734
19.96,0.94,0.45,2.86,29.9,204.2965024
0.54,0.29,2.97,0.13,29.81,3.900000095
2.69,1.59,2,0.82,31.32,18.1
3.54,6.08,0.68,9.98,23.1,5.782
7.09,2.03,1.93,1.66,2.45,8.82
7.41,1.98,1.84,1.55,3.08,22.834
3.36,7.19,0.5,11.81,23.17,4.018
21.97,0.57,0.47,4.27,32.55,256.6807223
5.32,2.84,1.31,1.65,32.87,12.4
4.35,2.51,1.52,1.83,31.97,26.8
